지점,지점명,일시,기온(°C),습도(%)
551,평택,2023-04-22 01:00,14.8,53
551,평택,2023-04-22 02:00,13.9,51
551,평택,2023-04-22 03:00,13.8,48
551,평택,2023-04-22 04:00,12.4,54
551,평택,2023-04-22 05:00,11.7,52
551,평택,2023-04-22 06:00,11.6,56
551,평택,2023-04-22 07:00,12.4,54
551,평택,2023-04-22 08:00,13.8,44
551,평택,2023-04-22 09:00,15.3,41
551,평택,2023-04-22 10:00,18.1,29
551,평택,2023-04-22 11:00,20.3,25
551,평택,2023-04-22 12:00,20.3,22
551,평택,2023-04-22 13:00,20.4,17
551,평택,2023-04-22 14:00,20.4,19
551,평택,2023-04-22 15:00,21.7,18
551,평택,2023-04-22 16:00,21.6,20
551,평택,2023-04-22 17:00,20.6,19
551,평택,2023-04-22 18:00,20.1,22
551,평택,2023-04-22 19:00,19.6,19
551,평택,2023-04-22 20:00,19,19
551,평택,2023-04-22 21:00,17.5,28
551,평택,2023-04-22 22:00,17.1,28
551,평택,2023-04-22 23:00,14.5,41
551,평택,2023-04-23 00:00,14.9,39
551,평택,2023-04-23 01:00,14,44
551,평택,2023-04-23 02:00,13.8,47
551,평택,2023-04-23 03:00,13.6,46
551,평택,2023-04-23 04:00,11.5,58
551,평택,2023-04-23 05:00,10.6,65
551,평택,2023-04-23 06:00,9.4,72
551,평택,2023-04-23 07:00,12.1,60
551,평택,2023-04-23 08:00,13.4,56
551,평택,2023-04-23 09:00,15,50
551,평택,2023-04-23 10:00,15.9,48
551,평택,2023-04-23 11:00,18.3,44
551,평택,2023-04-23 12:00,19.2,41
551,평택,2023-04-23 13:00,21,36
551,평택,2023-04-23 14:00,20.8,31
551,평택,2023-04-23 15:00,23.2,21
551,평택,2023-04-23 16:00,21.5,23
551,평택,2023-04-23 17:00,20.4,22
551,평택,2023-04-23 18:00,19.5,28
551,평택,2023-04-23 19:00,18.7,29
551,평택,2023-04-23 20:00,18.2,26
551,평택,2023-04-23 21:00,17,26
551,평택,2023-04-23 22:00,16.5,22
551,평택,2023-04-23 23:00,13.7,42
551,평택,2023-04-24 00:00,12.5,49
551,평택,2023-04-24 01:00,12.3,51
551,평택,2023-04-24 02:00,12.4,54
551,평택,2023-04-24 03:00,13,55
551,평택,2023-04-24 04:00,11.8,62
551,평택,2023-04-24 05:00,11.5,61
551,평택,2023-04-24 06:00,10.9,65
551,평택,2023-04-24 07:00,11.6,64
551,평택,2023-04-24 08:00,13.8,48
551,평택,2023-04-24 09:00,15.6,48
551,평택,2023-04-24 10:00,16.9,41
551,평택,2023-04-24 11:00,17.3,39
551,평택,2023-04-24 12:00,18.3,34
551,평택,2023-04-24 13:00,20.3,32
551,평택,2023-04-24 14:00,20.2,37
551,평택,2023-04-24 15:00,19.5,34
551,평택,2023-04-24 16:00,19.2,36
551,평택,2023-04-24 17:00,19.1,38
551,평택,2023-04-24 18:00,17.9,38
551,평택,2023-04-24 19:00,16.3,41
551,평택,2023-04-24 20:00,15,45
551,평택,2023-04-24 21:00,13.7,47
551,평택,2023-04-24 22:00,12.6,50
551,평택,2023-04-24 23:00,10.6,50
551,평택,2023-04-25 00:00,9.9,62
551,평택,2023-04-25 01:00,9.6,68
551,평택,2023-04-25 02:00,8.6,70
551,평택,2023-04-25 03:00,7.1,78
551,평택,2023-04-25 04:00,8.5,76
551,평택,2023-04-25 05:00,9.6,71
551,평택,2023-04-25 06:00,9.4,72
551,평택,2023-04-25 07:00,10.9,63
551,평택,2023-04-25 08:00,11.7,61
551,평택,2023-04-25 09:00,12.2,60
551,평택,2023-04-25 10:00,10.8,64
551,평택,2023-04-25 11:00,10,77
551,평택,2023-04-25 12:00,10,77
551,평택,2023-04-25 13:00,10.2,77
551,평택,2023-04-25 14:00,10.7,74
551,평택,2023-04-25 15:00,12.1,70
551,평택,2023-04-25 16:00,11.1,72
551,평택,2023-04-25 17:00,11.1,71
551,평택,2023-04-25 18:00,10.3,77
551,평택,2023-04-25 19:00,10.2,75
551,평택,2023-04-25 20:00,9.9,79
551,평택,2023-04-25 21:00,9.4,82
551,평택,2023-04-25 22:00,10.5,78
551,평택,2023-04-25 23:00,10.7,76
551,평택,2023-04-26 00:00,9.9,77
551,평택,2023-04-26 01:00,8.7,86
551,평택,2023-04-26 02:00,8.6,88
551,평택,2023-04-26 03:00,8.1,90
551,평택,2023-04-26 04:00,8.3,90
551,평택,2023-04-26 05:00,7.8,87
551,평택,2023-04-26 06:00,7.9,87
551,평택,2023-04-26 07:00,8.6,85
551,평택,2023-04-26 08:00,9.6,85
551,평택,2023-04-26 09:00,10.1,71
551,평택,2023-04-26 10:00,10.4,63
551,평택,2023-04-26 11:00,11.2,56
551,평택,2023-04-26 12:00,10.3,59
551,평택,2023-04-26 13:00,9.8,60
551,평택,2023-04-26 14:00,10.1,57
551,평택,2023-04-26 15:00,11.2,58
551,평택,2023-04-26 16:00,10.9,58
551,평택,2023-04-26 17:00,10.9,56
551,평택,2023-04-26 18:00,11.2,54
551,평택,2023-04-26 19:00,9.7,63
551,평택,2023-04-26 20:00,8.4,70
551,평택,2023-04-26 21:00,8.3,72
551,평택,2023-04-26 22:00,7.4,79
551,평택,2023-04-26 23:00,5.4,91
551,평택,2023-04-27 00:00,4.5,95
551,평택,2023-04-27 01:00,4.6,92
551,평택,2023-04-27 02:00,3.8,100
551,평택,2023-04-27 03:00,3.6,100
551,평택,2023-04-27 04:00,3.3,100
551,평택,2023-04-27 05:00,2.5,100
551,평택,2023-04-27 06:00,2.3,100
551,평택,2023-04-27 07:00,3.6,100
551,평택,2023-04-27 08:00,7.3,91
551,평택,2023-04-27 09:00,10.2,71
551,평택,2023-04-27 10:00,12.7,60
551,평택,2023-04-27 11:00,15.7,46
551,평택,2023-04-27 12:00,17.5,38
551,평택,2023-04-27 13:00,18.2,39
551,평택,2023-04-27 14:00,19.8,35
551,평택,2023-04-27 15:00,20.1,33
551,평택,2023-04-27 16:00,20.7,34
551,평택,2023-04-27 17:00,20.2,39
551,평택,2023-04-27 18:00,18.1,46
551,평택,2023-04-27 19:00,16.3,54
551,평택,2023-04-27 20:00,14.1,67
551,평택,2023-04-27 21:00,11.9,78
551,평택,2023-04-27 22:00,10.7,83
551,평택,2023-04-27 23:00,10.5,85
551,평택,2023-04-28 00:00,9.7,92
